day,lower,mid,upper,calves,total,date
1,390,0,0,0,390,Thu 06-10-21
2,480,0,0,0,480,Fri 06-11-21
3,500,0,0,0,500,Sat 06-12-21
4,0,0,0,0,0,Sun 06-13-21
5,0,0,0,0,0,Mon 06-14-21
6,420,0,0,0,420,Tue 06-15-21
7,0,0,0,0,0,Wed 06-16-21
8,460,0,0,0,460,Thu 06-17-21
9,800,0,0,0,800,Fri 06-18-21
10,900,100,0,0,1000,Sat 06-19-21
11,600,60,0,0,660,Sun 06-20-21
12,600,0,0,0,600,Mon 06-21-21
13,400,80,0,0,480,Tue 06-22-21
14,500,0,80,0,580,Wed 06-23-21
15,0,0,0,0,0,Thu 06-24-21
16,500,130,0,0,630,Fri 06-25-21
17,300,50,0,0,350,Sat 06-26-21
18,400,140,0,0,540,Sun 06-27-21
19,0,0,0,0,0,Mon 06-28-21
20,0,0,0,0,0,Tue 06-29-21
21,200,140,0,0,340,Wed 06-30-21
22,400,30,0,0,430,Thu 07-01-21
23,0,80,0,0,80,Fri 07-02-21
24,700,0,0,0,700,Sat 07-03-21
25,200,150,0,0,350,Sun 07-04-21
26,0,0,0,0,0,Mon 07-05-21
27,400,140,0,0,540,Tue 07-06-21
28,0,0,0,0,0,Wed 07-07-21
29,400,40,0,0,440,Thu 07-08-21
30,0,0,0,0,0,Fri 07-09-21
31,800,200,0,0,1000,Sat 07-10-21
32,0,50,0,0,50,Sun 07-11-21
33,400,170,0,0,570,Mon 07-12-21
34,0,0,0,0,0,Tue 07-13-21
35,0,0,0,0,0,Wed 07-14-21
36,0,0,0,0,0,Thu 07-15-21
37,200,0,0,0,200,Fri 07-16-21
38,500,230,0,0,730,Sat 07-17-21
39,200,200,200,0,600,Sun 07-18-21
40,0,0,0,0,0,Mon 07-19-21
41,400,270,220,0,890,Tue 07-20-21
42,400,250,0,0,650,Wed 07-21-21
43,300,300,200,0,800,Thu 07-22-21
44,300,300,100,0,700,Fri 07-23-21
45,0,300,200,0,500,Sat 07-24-21
46,400,0,0,0,400,Sun 07-25-21
47,0,0,0,0,0,Mon 07-26-21
48,0,0,0,0,0,Tue 07-27-21
49,300,300,0,0,600,Wed 07-28-21
50,300,100,200,0,600,Thu 07-29-21
51,100,150,0,0,250,Fri 07-30-21
52,300,215,200,0,715,Sat 07-31-21
53,0,300,0,0,300,Sun 08-01-21
54,0,0,0,0,0,Mon 08-02-21
55,0,0,0,0,0,Tue 08-03-21
56,0,0,0,0,0,Wed 08-04-21
57,200,0,100,0,300,Thu 08-05-21
58,0,300,0,0,300,Fri 08-06-21
59,300,0,0,0,300,Sat 08-07-21
60,0,0,100,0,100,Sun 08-08-21
61,300,400,0,0,700,Mon 08-09-21
62,300,200,0,0,500,Tue 08-10-21
63,0,500,100,0,600,Wed 08-11-21
64,300,500,0,0,800,Thu 08-12-21
65,400,200,0,0,600,Fri 08-13-21
66,0,0,0,0,0,Sat 08-14-21
67,0,0,200,0,200,Sun 08-15-21
68,100,700,0,0,800,Mon 08-16-21
69,0,0,0,0,0,Tue 08-17-21
70,500,100,0,0,600,Wed 08-18-21
71,0,0,0,0,0,Thu 08-19-21
72,0,0,0,0,0,Fri 08-20-21
73,0,300,0,0,300,Sat 08-21-21
74,0,0,0,0,0,Sun 08-22-21
75,0,0,0,0,0,Mon 08-23-21
76,0,240,0,0,240,Tue 08-24-21
77,300,600,0,0,900,Wed 08-25-21
78,0,0,0,0,0,Thu 08-26-21
79,500,200,0,0,700,Fri 08-27-21
80,300,730,0,0,930,Sat 08-28-21
81,700,0,0,0,700,Sun 08-29-21
82,300,700,0,0,1000,Mon 08-30-21
83,540,0,0,0,540,Tue 08-31-21
84,0,0,0,0,0,Wed 09-01-21
85,550,700,0,0,1250,Thu 09-02-21
86,0,0,0,0,0,Fri 09-03-21
87,400,200,0,0,600,Sat 09-04-21
88,0,900,0,0,900,Sun 09-05-21
89,0,0,0,0,0,Mon 09-06-21
90,700,0,0,0,700,Tue 09-07-21
91,0,900,0,0,900,Wed 09-08-21
92,1000,0,0,0,1000,Thu 09-09-21
93,0,500,0,0,500,Fri 09-10-21
94,0,0,250,0,250,Sat 09-11-21
95,0,0,0,0,0,Sun 09-12-21
96,0,0,0,0,0,Mon 09-13-21
97,400,0,0,0,400,Tue 09-14-21
98,0,500,0,0,500,Wed 09-15-21
99,0,0,0,0,0,Thu 09-16-21
100,300,700,0,0,1000,Fri 09-17-21
101,750,0,0,0,750,Sat 09-18-21
102,0,900,100,0,1000,Sun 09-19-21
103,500,0,0,0,500,Mon 09-20-21
104,0,800,100,0,900,Tue 09-21-21
105,500,0,0,0,500,Wed 09-22-21
106,0,800,100,0,900,Thu 09-23-21
107,500,0,0,0,500,Fri 09-24-21
108,0,800,50,0,850,Sat 09-25-21
109,250,0,0,0,250,Sun 09-26-21
110,100,0,270,0,370,Mon 09-27-21
111,300,0,0,0,300,Tue 09-28-21
112,0,500,200,0,700,Wed 09-29-21
113,300,0,0,0,300,Thu 09-30-21
114,0,200,100,0,300,Fri 10-01-21
115,300,0,0,0,300,Sat 10-02-21
116,0,200,200,0,400,Sun 10-03-21
117,0,0,0,0,0,Mon 10-04-21
118,0,0,0,0,0,Tue 10-05-21
119,0,500,0,0,500,Wed 10-06-21
120,0,0,200,0,200,Thu 10-07-21
121,400,0,0,0,400,Fri 10-08-21
122,450,0,0,0,450,Sat 10-09-21
123,0,0,200,0,200,Sun 10-10-21
124,300,0,0,0,300,Mon 10-11-21
125,250,500,0,0,750,Tue 10-12-21
126,400,0,180,0,580,Wed 10-13-21
127,340,0,0,0,340,Thu 10-14-21
128,0,600,100,0,700,Fri 10-15-21
129,300,0,0,0,300,Sat 10-16-21
130,0,400,150,0,550,Sun 10-17-21
131,300,0,0,0,300,Mon 10-18-21
132,0,400,220,0,620,Tue 10-19-21
133,300,0,0,0,300,Wed 10-20-21
134,600,500,0,0,1100,Thu 10-21-21
135,0,0,0,0,0,Fri 10-22-21
136,300,0,0,0,300,Sat 10-23-21
137,0,900,0,0,900,Sun 10-24-21
138,0,0,400,0,400,Mon 10-25-21
139,0,0,240,0,240,Tue 10-26-21
140,300,0,0,0,300,Wed 10-27-21
141,100,0,0,0,100,Thu 10-28-21
142,0,0,0,0,0,Fri 10-29-21
143,150,200,100,0,450,Sat 10-30-21
144,0,0,0,0,0,Sun 10-31-21
145,200,0,0,0,200,Mon 11-01-21
146,220,0,0,0,220,Tue 11-02-21
147,250,0,0,0,250,Wed 11-03-21
148,0,0,200,0,200,Thu 11-04-21
149,0,0,0,0,0,Fri 11-05-21
150,0,340,0,0,340,Sat 11-06-21
151,220,0,150,0,370,Sun 11-07-21
152,0,0,0,0,0,Mon 11-08-21
153,460,0,0,0,460,Tue 11-09-21
154,0,400,0,0,400,Wed 11-10-21
155,300,0,0,0,300,Thu 11-11-21
156,300,0,0,0,300,Fri 11-12-21
157,0,0,230,0,230,Sat 11-13-21
